"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"60_GAMMAN1_28",26.66,0,0,0,0,0,1.33,0,0,0,5.33
"60_GAMMAN1_29",4,0,0,0,0,0,0,0,0,0,5.33
"60_GAMMAN1_30",36,0,0,0,0,0,1.33,0,0,0,0
"60_GAMMAN2_1",9.33,0,0,0,0,0,46.67,0,0,0,5.33
"60_GAMMAN2_2",5.33,0,0,0,0,0,18.67,0,0,0,2.67
"60_GAMMAN2_3",15.99,0,0,0,0,0,36,0,0,0,0
"60_GAMMAN2_4",5.33,0,0,0,0,0,30.67,2.67,0,0,0
"60_GAMMAN2_5",8,0,0,0,0,0,5.33,0,0,0,1.33
"60_GAMMAN2_6",34.66,0,0,0,0,1.33,22.67,0,0,0,1.33
"60_GAMMAN2_7",6.66,0,0,0,0,0,45.33,0,0,0,2.67
"60_GAMMAN2_8",5.33,0,0,0,0,0,37.33,0,0,0,5.33
"60_GAMMAN2_9",22.67,0,0,0,0,0,16,0,0,0,4
"60_GAMMAN2_10",19.99,0,0,0,0,0,49.33,0,0,0,10.67
"60_GAMMAN2_11",2.66,0,0,0,0,0,33.33,0,0,0,1.33
"60_GAMMAN2_12",9.33,0,0,0,0,0,40,0,0,0,0
"60_GAMMAN2_13",9.33,0,0,0,0,0,18.67,0,0,0,5.33
"60_GAMMAN2_14",1.33,0,0,0,0,0,34.67,0,0,0,0
"60_GAMMAN2_15",4,0,0,0,0,0,60,0,0,0,5.33
"60_GAMMAN2_16",3.99,0,0,0,0,0,46.67,0,0,0,4
"60_GAMMAN2_17",9.33,0,0,0,0,2.67,24,0,0,0,9.33
"60_GAMMAN2_18",5.33,0,0,0,0,0,46.67,0,0,0,0
"60_GAMMAN2_19",0,0,0,0,0,0,42.67,0,0,0,2.67
"60_GAMMAN2_20",25.32,0,0,0,0,0,37.33,0,0,0,1.33
"60_GAMMAN2_21",5.33,0,0,0,0,0,56,0,0,0,4
"60_GAMMAN2_22",2.66,0,0,0,0,0,57.33,0,0,0,5.33
"60_GAMMAN2_23",12,0,0,0,0,0,32,0,0,0,4
"60_GAMMAN2_24",10.66,0,0,0,0,0,49.34,0,0,0,1.33
"60_GAMMAN2_25",10.67,0,0,0,0,0,37.33,0,0,0,1.33
"60_GAMMAN2_26",8,0,0,0,0,0,26.67,1.33,0,0,4
"60_GAMMAN2_27",7.99,0,0,0,0,0,37.33,0,0,0,2.67
"60_GAMMAN2_28",2.67,0,0,0,0,4,73.33,0,0,0,0
"60_GAMMAN2_29",10.67,0,0,0,0,0,40,0,0,0,0
"60_GAMMAN2_30",6.67,0,0,0,0,0,42.67,0,0,0,1.33
"60_SOCBOR1_1",66.66,0,0,0,0,0,0,0,0,0,10.67
"60_SOCBOR1_2",67.99,0,0,0,0,0,0,0,0,0,2.67
"60_SOCBOR1_3",77.32,0,0,0,0,0,0,0,0,0,1.33
"60_SOCBOR1_4",49.33,0,0,0,0,0,0,0,0,1.33,9.33
"60_SOCBOR1_5",65.33,0,0,0,0,0,0,0,0,0,2.67
"60_SOCBOR1_6",76,0,0,0,0,0,0,0,0,0,1.33
"60_SOCBOR1_7",41.32,0,0,0,0,0,0,0,0,0,5.33
"60_SOCBOR1_8",74.67,0,0,0,0,0,0,0,0,0,2.67
"60_SOCBOR1_9",80,0,0,0,0,0,0,0,0,0,4
"60_SOCBOR1_10",46.66,0,0,0,0,0,0,0,0,0,16
"60_SOCBOR1_11",44,0,0,0,0,0,0,0,0,0,2.67
"60_SOCBOR1_12",68,0,0,0,0,0,0,0,0,0,1.33
"60_SOCBOR1_13",68,0,0,0,0,0,0,0,0,0,4
"60_SOCBOR1_14",61.33,0,0,0,1.33,0,0,0,0,0,13.33
"60_SOCBOR1_15",90.67,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR1_16",39.98,0,0,0,0,1.33,0,0,0,0,4
"60_SOCBOR1_17",41.34,0,0,0,0,0,0,0,0,0,8
"60_SOCBOR1_18",62.66,0,0,0,0,0,0,0,0,0,6.67
"60_SOCBOR1_19",29.34,0,0,0,0,1.33,0,0,0,0,13.33
"60_SOCBOR1_20",62.67,0,0,0,0,0,0,0,0,0,5.33
"60_SOCBOR1_21",61.33,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR1_22",94.67,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR1_23",46.67,0,0,0,0,0,0,0,0,0,9.33
"60_SOCBOR1_24",77.33,0,0,0,0,0,0,0,0,0,4
"60_SOCBOR1_25",82.67,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR1_26",65.33,0,0,0,0,0,0,0,0,0,5.33
"60_SOCBOR1_27",66.66,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR1_28",80,0,0,0,0,0,0,0,0,9.33,6.67
"60_SOCBOR1_29",90.67,0,0,0,0,0,0,0,0,0,2.67
"60_SOCBOR1_30",62.66,0,0,0,0,1.33,0,0,0,0,5.33
"60_SOCBOR2_1",58.67,0,0,0,0,6.66,0,0,0,0,4
"60_SOCBOR2_2",71.99,0,0,0,0,0,0,0,0,0,5.33
"60_SOCBOR2_3",77.33,0,0,0,0,5.33,0,0,0,0,8
"60_SOCBOR2_4",83.99,0,0,0,0,0,0,0,0,0,4
"60_SOCBOR2_5",73.33,0,0,0,0,12,0,0,0,1.33,2.67
"60_SOCBOR2_6",69.33,0,0,0,1.33,5.34,0,0,0,0,9.33
"60_SOCBOR2_7",69.34,0,0,0,2.67,6.66,0,0,1.33,1.33,9.33
"60_SOCBOR2_8",73.32,0,0,0,1.33,9.34,0,0,2.67,0,6.67
"60_SOCBOR2_9",79.98,0,0,0,2.67,6.66,0,0,2.67,0,1.33
"60_SOCBOR2_10",70.67,0,0,0,0,10.67,0,0,1.33,0,1.33
"60_SOCBOR2_11",64,0,0,0,0,21.33,0,0,0,0,0
"60_SOCBOR2_12",57.33,0,0,0,0,8,0,0,1.33,0,9.33
"60_SOCBOR2_13",64,0,0,0,0,16,0,0,2.67,1.33,4
"60_SOCBOR2_14",75.98,0,0,0,0,8,0,0,0,0,1.33
"60_SOCBOR2_15",82.67,0,0,0,0,2.67,0,0,0,1.33,1.33
"60_SOCBOR2_16",74.66,0,0,0,0,5.34,0,0,0,0,2.67
"60_SOCBOR2_17",62.66,0,0,0,0,8,0,0,0,0,8
"60_SOCBOR2_18",56,0,0,0,0,13.34,0,0,1.33,0,1.33
"60_SOCBOR2_19",94.66,0,0,0,0,0,0,0,0,0,0
"60_SOCBOR2_20",60,0,0,0,0,17.33,0,0,1.33,0,8
"60_SOCBOR2_21",65.32,0,0,0,0,6.66,0,0,0,0,2.67
"60_SOCBOR2_22",33.33,0,0,0,0,5.34,0,0,0,0,22.67
"60_SOCBOR2_23",53.34,0,0,0,0,8,0,1.33,0,0,17.33
"60_SOCBOR2_24",78.65,0,0,0,0,1.33,0,0,1.33,0,2.67
"60_SOCBOR2_25",46.66,0,0,0,0,12,0,0,0,0,16
"60_SOCBOR2_26",59.98,0,0,0,0,1.33,0,0,0,0,6.67
"60_SOCBOR2_27",68,0,0,0,0,4,0,0,0,0,5.33
"60_SOCBOR2_28",77.33,0,0,0,0,2.67,0,0,0,0,5.33
"60_SOCBOR2_29",66.67,0,0,0,0,9.33,0,0,0,0,2.67
"60_SOCBOR2_30",78.66,0,0,0,0,0,0,0,0,2.67,9.33
"60_SOCMOO1_1",0,0,0,0,0,4,0,0,0,0,17.33
"60_SOCMOO1_2",0,0,0,0,0,0,0,0,0,0,17.33
"60_SOCMOO1_3",6.67,0,0,0,0,0,0,2.67,0,1.33,14.67
"60_SOCMOO1_4",1.33,0,0,0,0,2.67,0,0,0,0,33.33
"60_SOCMOO1_5",6.66,0,0,0,0,0,0,0,0,0,50.67
"60_SOCMOO1_6",5.33,0,0,0,0,0,0,0,0,0,30.67
"60_SOCMOO1_7",6.66,0,0,0,0,0,0,0,0,0,28
"60_SOCMOO1_8",1.33,0,0,0,0,0,0,0,0,0,18.67
"60_SOCMOO1_9",1.33,0,0,0,0,5.33,0,0,0,0,28
"60_SOCMOO1_10",1.33,0,0,0,0,18.67,0,0,0,0,34.67
"60_SOCMOO1_11",1.33,0,0,0,0,24,0,0,0,0,28
"60_SOCMOO1_12",5.32,0,0,0,0,4,0,0,0,0,45.33
"60_SOCMOO1_13",8,0,0,0,0,1.33,0,0,0,0,38.67
"60_SOCMOO1_14",0,0,0,0,0,0,0,0,0,1.33,44
"60_SOCMOO1_15",15.99,0,0,0,0,1.33,0,0,0,0,38.67
"60_SOCMOO1_16",14.66,0,0,0,0,0,0,0,0,0,45.33
"60_SOCMOO1_17",15.99,0,0,0,0,0,0,0,0,0,40
"60_SOCMOO1_18",6.66,0,0,0,0,6.67,0,0,0,0,38.67
"60_SOCMOO1_19",10.66,0,0,0,0,0,0,0,0,0,57.33
"60_SOCMOO1_20",20.01,0,0,0,0,0,0,0,0,0,46.67
"60_SOCMOO1_21",9.33,0,0,0,0,8,0,0,0,0,58.67
"60_SOCMOO1_22",2.67,0,0,0,0,1.33,0,0,0,0,42.67
"60_SOCMOO1_23",17.34,0,0,0,0,1.33,0,0,0,0,37.33
"60_SOCMOO1_24",11.99,0,0,0,0,0,0,0,0,0,41.33
"60_SOCMOO1_25",9.33,0,0,0,0,6.67,0,0,0,0,26.67
"60_SOCMOO1_26",2.66,0,0,0,0,0,0,0,0,0,54.67
"60_SOCMOO1_27",1.33,0,0,0,0,0,0,0,0,0,52
"60_SOCMOO1_28",0,0,0,0,0,1.33,0,0,0,0,40
"60_SOCMOO1_29",2.66,0,0,0,0,8,0,0,0,0,28
"60_SOCMOO1_30",0,0,0,0,0,5.33,0,0,0,0,37.33
"60_SOCMOO2_1",9.33,0,0,0,0,0,0,0,0,0,17.33
"60_SOCMOO2_2",2.66,0,0,0,0,0,0,0,0,0,12
"60_SOCMOO2_3",4,0,0,0,0,0,0,0,0,0,13.33
"60_SOCMOO2_4",4,0,0,0,0,0,0,0,0,0,8
"60_SOCMOO2_5",10.67,0,0,0,0,0,0,0,0,0,9.33
"60_SOCMOO2_6",7.99,0,0,0,0,0,0,0,0,0,9.33
"60_SOCMOO2_7",22.66,0,0,0,0,0,0,0,0,0,22.67
"60_SOCMOO2_8",13.33,0,0,0,0,1.33,0,0,0,0,17.33
"60_SOCMOO2_9",17.32,0,0,0,0,1.33,0,0,0,0,20
"60_SOCMOO2_10",6.66,0,0,0,0,2.67,0,0,0,0,22.67
"60_SOCMOO2_11",7.99,0,0,0,0,0,0,0,0,0,22.67
"60_SOCMOO2_12",9.32,0,0,0,0,4,2.67,0,0,0,10.67
"60_SOCMOO2_13",48,0,0,0,0,0,0,0,0,0,10.67
"60_SOCMOO2_14",2.66,0,0,0,0,0,0,0,0,0,8
"60_SOCMOO2_15",1.33,0,0,0,0,0,6.67,0,0,0,13.33
"60_SOCMOO2_16",12,0,0,0,0,2.67,0,0,0,0,10.67
"60_SOCMOO2_17",22.65,0,0,0,0,1.33,1.33,0,0,0,9.33
"60_SOCMOO2_18",37.33,0,0,0,0,0,0,0,0,0,13.33
"60_SOCMOO2_19",24,0,0,0,0,1.33,1.33,0,0,0,8
"60_SOCMOO2_20",8,0,0,0,0,0,0,0,0,0,32
"60_SOCMOO2_21",20,0,0,0,0,0,0,0,0,0,16
"60_SOCMOO2_22",4,0,0,0,0,0,0,0,0,0,16
"60_SOCMOO2_23",14.66,0,0,0,0,1.33,0,0,0,0,0
"60_SOCMOO2_24",10.67,0,0,0,0,0,0,0,0,0,21.33
"60_SOCMOO2_25",39.98,0,0,0,0,0,0,0,0,0,12
"60_SOCMOO2_26",17.32,0,0,0,0,2.67,0,0,0,0,9.33
"60_SOCMOO2_27",22.65,0,0,0,0,0,0,0,0,0,13.33
"60_SOCMOO2_28",17.32,0,0,0,0,1.33,0,0,0,0,13.33
"60_SOCMOO2_29",26.66,0,0,0,0,1.33,0,0,0,0,13.33
"60_SOCMOO2_30",14.66,0,0,0,0,0,0,0,0,0,16
"60_SOCTAH1_1",14.67,0,0,0,0,9.33,0,0,0,0,18.67
"60_SOCTAH1_2",13.33,0,0,0,0,13.33,0,0,0,0,12
"60_SOCTAH1_3",10.67,0,0,0,0,10.67,0,0,0,0,2.67
"60_SOCTAH1_4",14.66,0,0,0,0,10.67,0,0,0,0,9.33
"60_SOCTAH1_5",13.34,0,0,0,0,13.33,0,0,0,0,9.33
"60_SOCTAH1_6",7.99,0,0,0,0,14.67,0,0,0,0,22.67
"60_SOCTAH1_7",17.32,0,0,0,0,8,0,0,0,0,10.67
"60_SOCTAH1_8",9.32,0,0,0,1.33,17.33,1.33,0,0,0,9.33
"60_SOCTAH1_9",9.32,0,0,1.33,0,1.33,0,0,0,0,9.33
"60_SOCTAH1_10",5.33,0,0,0,0,6.67,0,0,0,0,10.67
"60_SOCTAH1_11",15.99,0,0,2.67,0,4,0,0,0,0,4
"60_SOCTAH1_12",8,0,0,0,0,4,0,0,0,0,10.67
"60_SOCTAH1_13",7.99,0,0,0,0,2.67,0,0,0,0,5.33
"60_SOCTAH1_14",10.66,0,0,0,0,12,0,0,0,1.33,17.33
"60_SOCTAH1_15",2.66,0,0,0,0,5.33,0,0,0,0,26.67
"60_SOCTAH1_16",10.66,0,0,0,0,2.67,0,0,0,0,14.67
"60_SOCTAH1_17",15.99,0,0,0,0,0,0,0,0,0,8
"60_SOCTAH1_18",8,0,0,2.67,0,0,0,0,0,0,6.67
"60_SOCTAH1_19",16,0,0,0,0,20,0,0,0,0,16
"60_SOCTAH1_20",21.33,0,0,0,0,9.33,0,0,0,0,12
"60_SOCTAH1_21",17.33,0,0,0,0,12,0,0,0,0,24
"60_SOCTAH1_22",7.99,0,0,0,0,4,0,0,0,1.33,12
"60_SOCTAH1_23",17.33,0,0,0,0,6.67,0,0,0,0,5.33
"60_SOCTAH1_24",22.66,0,0,0,0,6.67,0,0,0,0,9.33
"60_SOCTAH1_25",12,0,0,0,0,6.67,0,0,0,0,5.33
"60_SOCTAH1_26",10.67,0,0,0,1.33,13.34,0,0,0,0,9.33
"60_SOCTAH1_27",11.99,0,0,2.67,0,17.33,0,0,0,1.33,10.67
"60_SOCTAH1_28",9.33,0,0,1.33,0,16,0,0,0,0,10.67
"60_SOCTAH1_29",6.66,0,0,0,0,14.67,0,0,0,1.33,9.33
"60_SOCTAH1_30",10.66,0,0,1.33,0,6.67,0,0,0,0,4
"60_SOCTAH2_1",13.33,0,0,0,0,0,0,0,0,0,6.67
"60_SOCTAH2_2",5.34,0,0,0,0,2.67,0,0,0,0,1.33
"60_SOCTAH2_3",5.33,0,0,0,0,10.67,0,0,0,0,0
"60_SOCTAH2_4",32.01,0,0,0,1.33,4,0,0,0,0,0
"60_SOCTAH2_5",14.67,2.67,0,0,1.33,8,1.33,0,0,0,2.67
"60_SOCTAH2_6",8,0,0,0,2.67,1.33,0,0,0,0,0
"60_SOCTAH2_7",12,0,0,1.33,0,12,0,0,0,0,2.67
"60_SOCTAH2_8",20,4,0,0,8,4,0,0,0,0,0
"60_SOCTAH2_9",21.32,0,0,0,1.33,8,0,0,0,0,0
"60_SOCTAH2_10",3.99,0,0,5.33,0,0,0,0,0,0,0
"60_SOCTAH2_11",9.33,0,0,0,0,5.33,0,0,0,0,0
"60_SOCTAH2_12",2.67,0,0,0,0,4,0,0,0,0,2.67
"60_SOCTAH2_13",0,0,0,0,0,2.67,0,0,0,0,0
"60_SOCTAH2_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60_SOCTAH2_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60_SOCTAH2_16",2.66,0,0,0,1.33,4,0,0,0,0,0
"60_SOCTAH2_17",25.34,0,0,0,0,9.33,0,0,0,0,2.67
"60_SOCTAH2_18",16,0,0,0,0,1.33,0,0,0,0,4
"60_SOCTAH2_19",34.67,0,0,0,0,5.33,0,0,0,0,2.67
"60_SOCTAH2_20",10.67,0,0,0,0,0,0,0,0,0,1.33
"60_SOCTAH2_21",14.67,0,0,0,0,12,0,0,0,0,2.67
"60_SOCTAH2_22",5.34,0,0,0,0,2.67,0,0,0,0,0
"60_SOCTAH2_23",15.99,0,0,0,0,1.33,0,0,0,0,9.33
"60_SOCTAH2_24",9.34,0,0,0,0,0,0,0,0,1.33,5.33
"60_SOCTAH2_25",33.33,0,0,0,0,10.67,0,0,0,0,1.33
"60_SOCTAH2_26",4,0,0,0,0,6.67,0,0,0,0,0
"60_SOCTAH2_27",24,0,0,0,0,1.33,0,0,0,0,2.67
"60_SOCTAH2_28",0,0,0,0,0,0,0,0,0,0,5.33
"60_SOCTAH2_29",6.67,0,0,1.33,1.33,9.33,0,0,0,0,8
"60_SOCTAH2_30",29.33,0,0,0,0,5.33,0,0,0,0,4
"60_TUAMAK1_1",96,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK1_2",68,0,0,0,0,0,0,1.33,0,0,1.33
"60_TUAMAK1_3",41.33,0,0,0,0,0,0,5.33,0,0,0
"60_TUAMAK1_4",53.33,0,0,0,0,0,0,18.67,0,0,1.33
"60_TUAMAK1_5",44.01,0,0,0,0,0,0,41.33,0,0,0
"60_TUAMAK1_6",28,0,0,0,0,0,0,5.33,0,0,1.33
"60_TUAMAK1_7",29.34,0,0,0,0,0,0,0,0,0,12
"60_TUAMAK1_8",68,0,0,0,0,0,0,1.33,0,0,2.67
"60_TUAMAK1_9",86.67,0,0,0,0,0,0,6.67,0,0,0
"60_TUAMAK1_10",2.67,0,0,0,0,0,0,29.33,0,0,0
"60_TUAMAK1_11",84.01,0,0,0,0,0,0,0,0,0,2.67
"60_TUAMAK1_12",89.33,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK1_13",53.32,0,0,0,0,0,0,10.67,0,0,1.33
"60_TUAMAK1_14",82.66,0,0,0,0,0,0,0,0,0,1.33
"60_TUAMAK1_15",50.67,0,0,0,0,0,0,17.33,1.33,0,0
"60_TUAMAK1_16",12,0,0,0,0,0,0,30.67,0,0,0
"60_TUAMAK1_17",93.33,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK1_18",66.66,0,0,0,0,0,0,22.67,0,0,4
"60_TUAMAK1_19",97.32,0,0,0,0,0,0,1.33,0,0,1.33
"60_TUAMAK1_20",72,0,0,0,0,0,0,1.33,0,0,0
"60_TUAMAK1_21",86.66,0,0,0,0,0,0,4,0,0,2.67
"60_TUAMAK1_22",83.99,0,0,0,0,0,0,1.33,0,0,1.33
"60_TUAMAK1_23",90.67,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK1_24",77.33,0,0,0,0,0,0,0,0,0,4
"60_TUAMAK1_25",94.66,0,0,0,0,0,0,2.67,0,0,1.33
"60_TUAMAK1_26",71.99,0,0,0,0,0,0,0,0,0,1.33
"60_TUAMAK1_27",60,0,0,0,0,2.67,0,0,0,0,4
"60_TUAMAK1_28",49.33,0,0,0,0,0,0,9.33,0,0,1.33
"60_TUAMAK1_29",92,0,0,0,0,0,0,0,0,0,1.33
"60_TUAMAK1_30",88.01,0,0,0,0,0,0,0,0,0,4
"60_TUAMAK2_1",50.67,0,0,0,0,1.33,0,8,0,1.33,0
"60_TUAMAK2_2",57.31,0,0,0,0,0,0,4,0,0,0
"60_TUAMAK2_3",93.34,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK2_4",82.67,0,0,0,0,2.67,0,0,0,1.33,0
"60_TUAMAK2_5",89.33,0,0,0,0,2.67,0,0,0,0,0
"60_TUAMAK2_6",72.01,0,0,0,0,9.33,0,2.67,0,0,0
"60_TUAMAK2_7",87.99,0,0,0,0,0,4,0,0,0,0
"60_TUAMAK2_8",73.34,0,0,0,0,0,0,2.67,0,0,0
"60_TUAMAK2_9",66.65,0,0,0,0,8,0,9.33,0,0,0
"60_TUAMAK2_10",73.33,0,0,0,0,17.34,0,1.33,0,0,0
"60_TUAMAK2_11",63.99,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK2_12",58.66,0,0,0,0,1.33,0,6.67,0,0,0
"60_TUAMAK2_13",85.33,0,0,0,0,1.33,0,1.33,0,0,0
"60_TUAMAK2_14",98.66,0,0,0,0,0,0,0,0,1.33,0
"60_TUAMAK2_15",94.67,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK2_16",74.67,0,0,0,0,0,0,5.33,0,0,0
"60_TUAMAK2_17",65.33,0,0,0,0,0,0,1.33,0,0,0
"60_TUAMAK2_18",80,0,0,0,0,1.33,0,0,0,0,0
"60_TUAMAK2_19",37.32,0,0,0,0,6.67,0,0,0,0,0
"60_TUAMAK2_20",72,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK2_21",74.66,0,0,0,0,0,0,0,0,0,2.67
"60_TUAMAK2_22",59.99,0,0,0,0,2.67,0,8,0,0,0
"60_TUAMAK2_23",86.66,0,0,0,0,0,0,1.33,0,0,0
"60_TUAMAK2_24",77.33,0,0,0,0,0,0,8,0,0,0
"60_TUAMAK2_25",92,0,0,0,0,0,0,0,0,1.33,0
"60_TUAMAK2_26",62.66,0,0,0,0,0,0,0,0,0,0
"60_TUAMAK2_27",63.99,0,0,0,0,5.33,0,10.67,0,0,0
"60_TUAMAK2_28",93.34,0,0,0,0,0,0,0,0,1.33,0
"60_TUAMAK2_29",78.68,0,0,0,0,0,0,9.33,0,0,0
"60_TUAMAK2_30",68,0,0,0,0,2.67,0,4,0,0,0
"60_TUARAN1_1",6.67,0,0,0,0,9.33,0,0,0,0,2.67
"60_TUARAN1_2",16,0,0,0,0,25.33,0,0,0,0,2.67
"60_TUARAN1_3",11.99,0,0,0,0,42.66,0,0,0,0,0
"60_TUARAN1_4",14.66,0,0,0,0,16,2.67,0,0,0,1.33
"60_TUARAN1_5",10.67,0,0,0,0,5.33,0,0,0,0,0
"60_TUARAN1_6",1.33,0,0,0,0,20,0,0,0,0,0
"60_TUARAN1_7",11.99,0,0,0,0,8,0,0,0,0,0
"60_TUARAN1_8",9.33,0,0,0,0,17.33,0,0,0,0,6.66
"60_TUARAN1_9",1.33,0,0,0,0,0,0,0,0,0,0
"60_TUARAN1_10",19.99,0,0,0,0,36,0,0,0,0,1.33
"60_TUARAN1_11",36,0,0,0,0,13.33,0,0,0,0,0
"60_TUARAN1_12",40,0,0,0,0,1.33,0,0,0,0,0
"60_TUARAN1_13",24,0,0,0,0,1.33,0,0,0,0,0
"60_TUARAN1_14",13.33,0,0,0,0,0,0,0,0,0,0
"60_TUARAN1_15",52,0,0,0,0,13.33,0,0,0,0,1.33
"60_TUARAN1_16",4,0,0,0,0,13.33,0,0,0,0,0
"60_TUARAN1_17",71.99,0,0,0,0,4,0,0,0,0,2.67
"60_TUARAN1_18",65.33,0,0,0,0,1.33,0,0,0,0,0
"60_TUARAN1_19",14.66,0,0,0,0,9.33,0,0,0,0,9.33
"60_TUARAN1_20",6.66,0,0,0,0,2.67,0,0,0,0,0
"60_TUARAN1_21",38.68,0,0,0,0,20,0,0,0,0,1.33
"60_TUARAN1_22",16,0,0,0,0,29.33,0,0,0,1.33,2.67
"60_TUARAN1_23",30.65,0,0,0,0,5.33,0,0,0,0,0
"60_TUARAN1_24",14.67,0,0,0,0,24,0,0,0,0,0
"60_TUARAN1_25",19.98,0,0,0,0,13.33,2.67,0,0,0,2.67
"60_TUARAN1_26",25.32,0,0,0,0,12,0,0,0,0,0
"60_TUARAN1_27",16,0,0,0,0,17.33,0,0,0,0,0
"60_TUARAN1_28",14.66,0,0,0,0,14.67,0,0,0,0,1.33
"60_TUARAN1_29",40,0,0,0,0,5.33,0,0,0,0,1.33
"60_TUARAN1_30",10.66,0,0,0,0,4,0,0,0,0,0
"60_TUARAN2_1",45.33,0,0,0,0,6.67,2.67,0,0,0,1.33
"60_TUARAN2_2",21.33,0,0,0,1.33,5.33,0,0,0,0,2.67
"60_TUARAN2_3",33.32,0,0,0,0,2.67,8,0,0,0,9.33
"60_TUARAN2_4",38.65,0,0,0,0,9.33,0,0,0,0,6.67
"60_TUARAN2_5",40,0,0,0,0,10.67,0,0,0,0,4
"60_TUARAN2_6",13.33,0,0,0,0,0,6.67,0,0,0,0
"60_TUARAN2_7",57.33,0,0,0,0,0,0,0,0,0,2.67
"60_TUARAN2_8",30.67,0,0,0,0,4,0,0,0,0,2.67
"60_TUARAN2_9",15.98,0,0,0,0,0,9.33,0,0,0,1.33
"60_TUARAN2_10",5.33,0,0,0,0,0,10.67,0,0,0,4
"60_TUARAN2_11",9.33,0,0,0,0,8,13.33,0,0,0,10.67
"60_TUARAN2_12",17.34,0,0,0,0,2.67,2.67,0,0,0,9.33
"60_TUARAN2_13",0,0,0,0,0,0,0,0,0,0,2.67
"60_TUARAN2_14",37.33,0,0,0,0,0,0,0,0,0,2.67
"60_TUARAN2_15",70.67,0,0,0,0,1.33,9.33,0,0,0,4
"60_TUARAN2_16",23.99,0,0,0,0,0,46.67,0,0,0,12
"60_TUARAN2_17",31.99,0,0,0,0,1.33,0,0,0,0,2.67
"60_TUARAN2_18",90.67,0,0,0,0,0,0,0,0,0,0
"60_TUARAN2_19",33.33,0,0,0,0,25.33,4,0,0,0,0
"60_TUARAN2_20",80,0,0,0,0,1.33,0,0,0,0,5.33
"60_TUARAN2_21",36,0,0,0,0,5.33,0,0,0,0,2.67
"60_TUARAN2_22",12,0,0,0,0,2.67,20,0,0,0,0
"60_TUARAN2_23",65.32,0,0,0,0,2.66,0,0,0,0,1.33
"60_TUARAN2_24",0,0,0,0,0,1.33,0,0,0,0,1.33
"60_TUARAN2_25",45.33,0,0,0,0,5.33,0,0,0,0,1.33
"60_TUARAN2_26",46.66,0,0,0,0,1.33,1.33,0,0,1.33,2.67
"60_TUARAN2_27",30.66,0,0,0,1.33,40,0,0,0,0,2.67
"60_TUARAN2_28",50.66,0,0,0,0,18.67,0,0,0,0,2.67
"60_TUARAN2_29",47.99,0,0,0,0,12,0,0,0,0,9.33
"60_TUARAN2_30",42.66,0,0,0,0,36,8,0,0,0,5.33
"60_TUARAR1_1",37.33,0,0,0,0,13.33,0,0,0,0,6.67
"60_TUARAR1_2",29.32,0,0,0,0,33.33,0,0,0,0,9.33
"60_TUARAR1_3",74.65,0,0,0,0,8,0,0,0,0,2.67
"60_TUARAR1_4",9.33,0,0,0,0,17.33,0,0,0,0,14.67
"60_TUARAR1_5",6.66,0,0,0,0,25.33,0,0,0,0,2.67
"60_TUARAR1_6",77.34,0,0,0,0,12,0,0,0,0,0
"60_TUARAR1_7",52,0,0,0,0,18.67,0,0,0,1.33,1.33
"60_TUARAR1_8",35.99,0,0,0,0,17.33,0,0,0,0,1.33
"60_TUARAR1_9",38.67,0,0,0,0,33.34,0,0,0,0,0
"60_TUARAR1_10",47.99,0,0,0,0,20,0,0,0,0,2.67
"60_TUARAR1_11",41.33,0,0,0,0,26.67,0,0,0,0,0
"60_TUARAR1_12",66.65,0,0,0,0,13.33,0,0,0,0,4
"60_TUARAR1_13",32.01,0,0,0,0,21.34,0,0,0,0,1.33
"60_TUARAR1_14",40,0,0,0,0,14.67,0,0,0,0,0
"60_TUARAR1_15",25.32,0,0,0,0,5.33,0,0,0,0,2.67
"60_TUARAR1_16",55.99,0,0,0,0,13.33,0,0,0,0,1.33
"60_TUARAR1_17",37.33,0,0,0,0,21.33,0,0,0,0,4
"60_TUARAR1_18",74.66,0,0,0,0,8,0,0,0,0,0
"60_TUARAR1_19",81.33,0,0,0,0,6.67,0,0,0,0,0
"60_TUARAR1_20",60,0,0,0,0,9.33,0,0,0,0,0
"60_TUARAR1_21",34.67,0,0,0,0,17.33,0,0,0,0,2.67
"60_TUARAR1_22",22.67,0,0,0,0,36,0,0,0,0,2.67
"60_TUARAR1_23",72.01,0,0,0,0,9.34,0,0,0,0,0
