"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"40_TUAMAK1_1",69.34,0,0,0,0,6.67,0,0,0,0,1.33
"40_TUAMAK1_2",34.67,0,0,0,0,0,0,0,0,0,5.33
"40_TUAMAK1_3",2.67,0,0,0,0,0,0,0,0,0,2.67
"40_TUAMAK1_4",46.66,0,0,0,0,0,0,0,0,4,1.33
"40_TUAMAK1_5",35.99,0,0,0,0,0,0,0,0,0,1.33
"40_TUAMAK1_6",46.66,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_7",56,0,0,0,0,0,0,4,0,0,1.33
"40_TUAMAK1_8",44,0,0,0,0,0,0,2.67,0,0,0
"40_TUAMAK1_9",45.33,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_10",34.66,0,0,0,0,0,0,2.67,0,0,1.33
"40_TUAMAK1_11",50.67,0,0,0,0,0,0,0,0,1.33,5.33
"40_TUAMAK1_12",14.66,0,0,0,0,2.67,0,5.33,0,1.33,6.67
"40_TUAMAK1_13",28,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_14",62.66,0,0,0,0,0,0,0,0,0,8
"40_TUAMAK1_15",58.66,0,0,0,0,0,0,0,0,0,6.67
"40_TUAMAK1_16",81.33,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_17",53.33,0,0,0,0,0,0,0,0,0,2.67
"40_TUAMAK1_18",65.33,0,0,0,0,0,0,0,0,0,2.67
"40_TUAMAK1_19",57.32,0,0,0,0,0,0,1.33,0,0,5.33
"40_TUAMAK1_20",56,0,0,0,0,0,4,4,0,0,1.33
"40_TUAMAK1_21",37.33,0,0,0,0,12,0,0,0,0,2.67
"40_TUAMAK1_22",32,0,0,0,0,1.33,0,0,0,0,1.33
"40_TUAMAK1_23",48,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_24",43.98,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK1_25",50.67,0,0,0,0,0,0,0,0,0,5.33
"40_TUAMAK1_26",33.34,0,0,0,0,2.67,0,0,0,0,0
"40_TUAMAK1_27",54.67,0,0,0,0,21.33,0,0,0,0,1.33
"40_TUAMAK1_28",53.34,0,0,0,0,0,0,0,0,0,2.67
"40_TUAMAK1_29",25.33,0,0,0,0,0,0,0,0,4,20
"40_TUAMAK1_30",84,0,0,0,0,0,0,0,0,0,1.33
"40_TUAMAK2_1",26.66,0,0,0,0,6.67,0,0,0,0,1.33
"40_TUAMAK2_2",53.33,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_3",73.33,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_4",49.34,0,0,0,0,1.33,0,0,0,0,0
"40_TUAMAK2_5",57.32,0,0,0,0,6.67,0,0,0,0,0
"40_TUAMAK2_6",64,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_7",49.33,0,0,0,0,0,0,1.33,0,0,1.33
"40_TUAMAK2_8",56,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_9",29.32,0,0,0,0,0,0,1.33,0,0,0
