"","Depth","Latitude","Longitude","Fixed substrate","Sediment substrate","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"20_GAMGAM1_7","20","-23.0731","-135.0162","53.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_8","20","-23.0731","-135.0162","52","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_9","20","-23.0731","-135.0162","42.66","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_10","20","-23.0731","-135.0162","49.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_11","20","-23.0731","-135.0162","38.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_12","20","-23.0731","-135.0162","44","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_13","20","-23.0731","-135.0162","54.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_14","20","-23.0731","-135.0162","18.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_15","20","-23.0731","-135.0162","22.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_16","20","-23.0731","-135.0162","18.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_17","20","-23.0731","-135.0162","40","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_18","20","-23.0731","-135.0162","53.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_19","20","-23.0731","-135.0162","56","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_20","20","-23.0731","-135.0162","57.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_21","20","-23.0731","-135.0162","4","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_22","20","-23.0731","-135.0162","60","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_23","20","-23.0731","-135.0162","84","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_24","20","-23.0731","-135.0162","38.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_25","20","-23.0731","-135.0162","34.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_26","20","-23.0731","-135.0162","30.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_27","20","-23.0731","-135.0162","54.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_28","20","-23.0731","-135.0162","28","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_29","20","-23.0731","-135.0162","41.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_30","20","-23.0731","-135.0162","42.66","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"40_GAMGAM1_1","40","-23.0731","-135.0162","62.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_2","40","-23.0731","-135.0162","85.34","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_3","40","-23.0731","-135.0162","62.66","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_4","40","-23.0731","-135.0162","65.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_5","40","-23.0731","-135.0162","81.34","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_6","40","-23.0731","-135.0162","61.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_7","40","-23.0731","-135.0162","60","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_8","40","-23.0731","-135.0162","42.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_9","40","-23.0731","-135.0162","61.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_10","40","-23.0731","-135.0162","58.66","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_11","40","-23.0731","-135.0162","65.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_12","40","-23.0731","-135.0162","81.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_13","40","-23.0731","-135.0162","69.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_14","40","-23.0731","-135.0162","60","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_15","40","-23.0731","-135.0162","68","0","2.67","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_16","40","-23.0731","-135.0162","69.34","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_17","40","-23.0731","-135.0162","50.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_18","40","-23.0731","-135.0162","44","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_19","40","-23.0731","-135.0162","86.67","0","2.67","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_20","40","-23.0731","-135.0162","81.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_21","40","-23.0731","-135.0162","78.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_22","40","-23.0731","-135.0162","65.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_23","40","-23.0731","-135.0162","74.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_24","40","-23.0731","-135.0162","66.66","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_25","40","-23.0731","-135.0162","56","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_26","40","-23.0731","-135.0162","54.67","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_27","40","-23.0731","-135.0162","48","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_28","40","-23.0731","-135.0162","52","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_29","40","-23.0731","-135.0162","57.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"40_GAMGAM1_30","40","-23.0731","-135.0162","53.33","0","0","136.89783","24.0977392","26.21057","2.891","25.21497","25.21497","Barrier reef","North-west","Moderate","Rubble and Porites","Fixed substrate","None","17","2","3.2","2","11.2"
"60_GAMGAM1_1","60","-23.0731","-135.0162","60","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_2","60","-23.0731","-135.0162","49.34","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_3","60","-23.0731","-135.0162","64","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_4","60","-23.0731","-135.0162","50.67","1.33","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_5","60","-23.0731","-135.0162","49.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_6","60","-23.0731","-135.0162","48","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_7","60","-23.0731","-135.0162","53.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_8","60","-23.0731","-135.0162","57.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_9","60","-23.0731","-135.0162","45.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_10","60","-23.0731","-135.0162","34.67","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_11","60","-23.0731","-135.0162","44","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_12","60","-23.0731","-135.0162","40","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_13","60","-23.0731","-135.0162","48","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_14","60","-23.0731","-135.0162","46.67","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_15","60","-23.0731","-135.0162","32","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_16","60","-23.0731","-135.0162","32","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_17","60","-23.0731","-135.0162","41.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_18","60","-23.0731","-135.0162","46.67","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_19","60","-23.0731","-135.0162","53.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_20","60","-23.0731","-135.0162","30.67","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_21","60","-23.0731","-135.0162","44","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_22","60","-23.0731","-135.0162","36","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_23","60","-23.0731","-135.0162","44","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_24","60","-23.0731","-135.0162","37.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_25","60","-23.0731","-135.0162","50.67","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_26","60","-23.0731","-135.0162","32","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_27","60","-23.0731","-135.0162","33.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
"60_GAMGAM1_28","60","-23.0731","-135.0162","45.33","0","0","56.27609","9.8732471","25.38626","3.177","25.21497","25.0889","Barrier reef","North-west","Moderate","Sediment and Pocillopora","Fixed substrate","None","18","2","3.2","2","11.2"
