"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","CCA","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015","ID","Depth_num","TotPoints","Inc_points","Non_Inc_points","Per_Cover"
"15","Bora_1",120,22,0,-16.5031,-151.7907,60,0,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_22",120,75,0,75,1e-04
"16","Bora_1",120,23,0,-16.5031,-151.7907,18.67,0,2.67,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_23",120,75,0,75,1e-04
"17","Bora_1",120,24,0,-16.5031,-151.7907,22.67,0,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_24",120,75,0,75,1e-04
"18","Bora_1",120,25,0,-16.5031,-151.7907,61.34,0,6.67,14.67,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_25",120,75,0,75,1e-04
"19","Bora_1",120,26,0,-16.5031,-151.7907,40,0,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_26",120,75,0,75,1e-04
"20","Bora_1",120,27,0,-16.5031,-151.7907,36,0,8,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_27",120,75,0,75,1e-04
"21","Bora_1",120,28,0,-16.5031,-151.7907,58.66,0,9.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_28",120,75,0,75,1e-04
"22","Bora_1",120,29,0,-16.5031,-151.7907,54.66,0,13.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_29",120,75,0,75,1e-04
"23","Bora_1",120,3,0,-16.5031,-151.7907,46.66,0,4,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_3",120,75,0,75,1e-04
"24","Bora_1",120,30,0,-16.5031,-151.7907,12,0,5.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_30",120,75,0,75,1e-04
